,timestamp,what_degree_program_are_you_currently_enrolled_in?,gender,race/ethnicity,age_,what_motivated_you_to_seek_a_computing_class_at_ccm?_[it’s_a_required_class_for_the_degree_i’m_seeking],what_motivated_you_to_seek_a_computing_class_at_ccm?_[to_keep_current_in_computing_skills],what_motivated_you_to_seek_a_computing_class_at_ccm?_[career_advancement],what_motivated_you_to_seek_a_computing_class_at_ccm?_[career_change],what_motivated_you_to_seek_a_computing_class_at_ccm?_[professional_development],what_motivated_you_to_seek_a_computing_class_at_ccm?_[job_displacement],what_motivated_you_to_seek_a_computing_class_at_ccm?_[relocation],what_motivated_you_to_seek_a_computing_class_at_ccm?_[it_industry_certifications],what_motivated_you_to_seek_a_computing_class_at_ccm?_[financial],what_motivated_you_to_seek_a_computing_class_at_ccm?_[personal_enrichment],what_motivated_you_to_seek_a_computing_class_at_ccm?_[curiosity],"if_you_answered_that_you_were_interested_in_taking_more_computing_classes,_which_ones_interest_you_most?_[web_development]","if_you_answered_that_you_were_interested_in_taking_more_computing_classes,_which_ones_interest_you_most?_[cybersecurity]","if_you_answered_that_you_were_interested_in_taking_more_computing_classes,_which_ones_interest_you_most?_[app_development]","if_you_answered_that_you_were_interested_in_taking_more_computing_classes,_which_ones_interest_you_most?_[data_analytics]","if_you_answered_that_you_were_interested_in_taking_more_computing_classes,_which_ones_interest_you_most?_[machine_learning/artificial_intelligence]","if_you_answered_that_you_were_interested_in_taking_more_computing_classes,_which_ones_interest_you_most?_[computer_programming]","if_you_answered_that_you_were_interested_in_taking_more_computing_classes,_which_ones_interest_you_most?_[game_design]","if_you_answered_that_you_were_interested_in_taking_more_computing_classes,_which_ones_interest_you_most?_[hardware_installation_&_repair]"
0,2024/09/10 10:47:35 AM AST,Liberal Arts,Prefer not to say,Hispanic or Latino;Black/African American;White/Caucasian;Multi-Racial,19-20,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
1,2024/09/10 11:00:05 AM AST,child psychology ,Woman,Hispanic or Latino,19-20,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
2,2024/09/10 11:02:51 AM AST,Broadcasting Arts and Technology,Man,Choose not to reply,18 and younger,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
3,2024/09/10 11:05:25 AM AST,analyst,Man,Hispanic or Latino,19-20,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No
4,2024/09/10 8:37:36 PM AST,Journalism,Woman,White/Caucasian,19-20,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
5,2024/09/10 9:29:27 PM AST,Liberal Arts,Woman,White/Caucasian,19-20,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
6,2024/09/10 10:52:37 PM AST,Early Childhood Education,Woman,Hispanic or Latino,19-20,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No
7,2024/09/11 10:54:10 AM AST,Nursing,Woman,Hispanic or Latino;Black/African American,18 and younger,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,2024/09/11 12:40:52 PM AST,Liberal Arts,Woman,White/Caucasian,19-20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
9,2024/09/11 7:06:45 PM AST,Liberal Arts,Woman,White/Caucasian,19-20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10,2024/09/11 8:16:57 PM AST,Nursing,Woman,Asian,25-34,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No
11,2024/09/12 9:34:01 AM AST,Radiography,Woman,Hispanic or Latino;White/Caucasian,21-24,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12,2024/09/12 9:34:06 AM AST,Radiography,Woman,Hispanic or Latino;White/Caucasian,21-24,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
13,2024/09/12 10:29:04 AM AST,Radiography,Woman,White/Caucasian,21-24,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14,2024/09/12 11:29:38 AM AST,Radiography,Non-binary,White/Caucasian,18 and younger,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
15,2024/09/12 11:30:15 AM AST,Exercise Science,Man,White/Caucasian,19-20,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No
16,2024/09/12 11:30:18 AM AST,Radiography,Woman,White/Caucasian,18 and younger,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
17,2024/09/12 11:30:21 AM AST,Exercise Science,Man,White/Caucasian,18 and younger,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
18,2024/09/12 11:30:23 AM AST,Radiography,Woman,Hispanic or Latino,18 and younger,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
